"Source:","/home/dc/keeb/thumbstick/thumbstick.kicad_sch"
"Date:","Mon 14 Nov 2022 03:51:00 PM PST"
"Tool:","Eeschema 6.0.5"
"Generator:","/nix/store/58c7gq0974z06xgyd0ryq221hfzgrx5l-kicad-base-6.0.5/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","6"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, ","1","10uF","C_Small","Capacitor_SMD:C_0603_1608Metric","Unpolarized capacitor, small symbol",""
"C2, C3, ","2","100nF","C_Small","Capacitor_SMD:C_0603_1608Metric","Unpolarized capacitor, small symbol",""
"H1, ","1","Conn_01x05","Conn_01x05","Connector_Molex:Molex_PicoBlade_53047-0510_1x05_P1.25mm_Vertical","Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"MNT1, ","1","MountingHole","MountingHole","MountingHole:MountingHole_2.2mm_M2_Pad","Mounting Hole without connection",""
"POT1, ","1","RKJXV122400R","RKJXV122400R","rkjxv1220001:RKJXV122400R","",""
